RowID,OrderID,OrderDate,ShipDate,CustomerID,CustomerName,PostalCode,City,State,Country,Region,Market,Segment,ProductID,Category,SubCategory,ProductName,OrderPriority,ShipMode,Sales,Quantity,Discount,Profit,ShippingCost
47934,UP-2015-HK4890137-42313,11-05-15,11-07-15,HK-4890137,Heather Kirkland,,Kryvyy Rih,Dnipropetrovs'k,Ukraine,Eastern Europe,Europe,Corporate,FUR-BO-5960,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",High,Second Class,$788.40 ,4,0,$291.60 ,$82.24 
7289,MX-2015-JE1574555-42278,10-01-15,10-04-15,JE-1574555,Joel Eaton,,La Ceiba,Atlántida,Honduras,Central America,LATAM,Consumer,TEC-AC-4186,Technology,Accessories,"Enermax Router, Erganomic",Critical,First Class,$204.91 ,2,0.4,($122.97),$82.23 
7631,MX-2014-BN114705-41961,11/18/2014,11/21/2014,BN-114705,Brad Norvell,,Buenos Aires,Buenos Aires,Argentina,South America,LATAM,Corporate,TEC-AC-5224,Technology,Accessories,"Memorex Router, Erganomic",Critical,Second Class,$683.26 ,7,0.4,$68.24 ,$82.19 
8411,US-2015-CR1282055-42165,06-10-15,6/17/2015,CR-1282055,Cyra Reiten,,Tegucigalpa,Francisco Morazán,Honduras,Central America,LATAM,Home Office,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",Medium,Standard Class,$765.00 ,3,0.4,($331.50),$82.18 
32812,US-2015-AI10855140-42350,12-12-15,12/18/2015,AI-108551406,Arianne Irving,19120,Philadelphia,Pennsylvania,United States,Eastern US,USCA,Consumer,FUR-CH-5048,Furniture,Chairs,"Leather Task Chair, Black",Medium,Standard Class,$63.69 ,1,0.3,($9.10),$2.84 
9729,MX-2014-DL1349582-41788,5/29/2014,5/31/2014,DL-1349582,Dionis Lloyd,,Progreso,Yucatán,Mexico,Central America,LATAM,Corporate,OFF-AP-4733,Office Supplies,Appliances,"Hoover Microwave, White",High,Second Class,$613.56 ,3,0,$6.12 ,$82.17 
27903,ID-2015-PP189557-42161,06-06-15,06-10-15,PP-189557,Paul Prost,,Coffs Harbour,New South Wales,Australia,Oceania,Asia Pacific,Home Office,FUR-CH-5446,Furniture,Chairs,"Office Star Rocking Chair, Adjustable",Medium,Standard Class,"$1,161.54 ",9,0.1,($103.41),$82.17 
36343,CA-2014-AI10855140-41954,11-11-14,11/14/2014,AI-108551404,Arianne Irving,90036,Los Angeles,California,United States,Western US,USCA,Consumer,OFF-BI-5584,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,High,Second Class,$5.18 ,3,0.2,$1.81 ,$1.70 
19566,IT-2014-BE1145548-41879,8/28/2014,8/30/2014,BE-1145548,Brad Eason,,Aschaffenburg,Bavaria,Germany,Western Europe,Europe,Home Office,OFF-ST-6033,Office Supplies,Storage,"Smead File Cart, Single Width",High,First Class,$346.76 ,3,0.1,($34.75),$82.13 
4645,MX-2015-TA2138526-42272,9/25/2015,9/29/2015,TA-2138526,Tom Ashbrook,,San Bernardo,Santiago,Chile,South America,LATAM,Home Office,FUR-CH-5807,Furniture,Chairs,"SAFCO Swivel Stool, Red",High,Standard Class,$783.72 ,7,0,$31.22 ,$82.12 
36738,CA-2015-AI10855140-42257,09-10-15,9/14/2015,AI-108551404,Arianne Irving,85301,Glendale,Arizona,United States,Western US,USCA,Consumer,OFF-PA-6336,Office Supplies,Paper,Unpadded Memo Slips,Medium,Standard Class,$6.37 ,2,0.2,$2.39 ,$1.69 
27707,IN-2015-PT1909027-42245,8/29/2015,09-03-15,PT-1909027,Pete Takahito,,Harbin,Heilongjiang,China,Eastern Asia,Asia Pacific,Consumer,FUR-CH-5448,Furniture,Chairs,"Office Star Rocking Chair, Red",Medium,Standard Class,$986.37 ,7,0,$108.36 ,$82.05 
50053,TU-2014-BT1440134-42000,12/27/2014,01-01-15,BT-1440134,Bobby Trafton,,Istanbul,Istanbul,Turkey,Western Asia,Asia Pacific,Consumer,FUR-BO-3902,Furniture,Bookcases,"Dania Library with Doors, Mobile",Medium,Second Class,$583.87 ,4,0.6,($540.17),$81.98 
15214,ES-2014-LL1684048-41986,12/13/2014,12/19/2014,LL-1684048,Lauren Leatherbury,,Aalen,Baden-Württemberg,Germany,Western Europe,Europe,Consumer,FUR-BO-4860,Furniture,Bookcases,"Ikea Library with Doors, Metal",Medium,Standard Class,$979.70 ,3,0.1,$283.01 ,$81.97 
40508,CA-2013-AI10855140-41347,3/14/2013,3/19/2013,AI-108551404,Arianne Irving,95661,Roseville,California,United States,Western US,USCA,Consumer,OFF-PA-6587,Office Supplies,Paper,Xerox 223,Medium,Standard Class,$19.44 ,3,0,$9.33 ,$1.52 
30887,ID-2012-SH203957-41138,8/17/2012,8/18/2012,SH-203957,Shahid Hopkins,,Geraldton,Western Australia,Australia,Oceania,Asia Pacific,Consumer,OFF-ST-4267,Office Supplies,Storage,"Fellowes Lockers, Industrial",Critical,First Class,$498.74 ,4,0.4,($232.78),$81.94 
3542,MX-2015-RD1981093-42248,09-01-15,09-05-15,RD-1981093,Ross DeVincentis,,Managua,Managua,Nicaragua,Central America,LATAM,Home Office,TEC-AC-3390,Technology,Accessories,"Belkin Memory Card, Programmable",High,Standard Class,$465.24 ,6,0,$213.96 ,$81.93 
24189,IN-2013-FG1426058-41378,4/14/2013,4/16/2013,FG-1426058,Frank Gastineau,,Aurangabad,Maharashtra,India,Southern Asia,Asia Pacific,Home Office,FUR-BO-5959,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",High,Second Class,$970.20 ,5,0,$145.50 ,$81.92 
25247,IN-2015-GH1442558-42150,5/26/2015,5/28/2015,GH-1442558,Gary Hwang,,Dewas,Madhya Pradesh,India,Southern Asia,Asia Pacific,Consumer,FUR-CH-5437,Furniture,Chairs,"Office Star Chairmat, Adjustable",Critical,First Class,$341.55 ,5,0,$30.60 ,$81.92 
26323,IN-2015-AP1072058-42284,10-07-15,10-11-15,AP-1072058,Anne Pryor,,Jabalpur,Madhya Pradesh,India,Southern Asia,Asia Pacific,Home Office,TEC-CO-4766,Technology,Copiers,"HP Copy Machine, High-Speed",High,Standard Class,$487.38 ,2,0,$107.22 ,$81.85 
47112,KE-2013-EJ372069-41448,6/23/2013,6/28/2013,EJ-372069,Ed Jacobs,,Marsabit,Eastern,Kenya,Eastern Africa,Africa,Consumer,TEC-CO-4765,Technology,Copiers,"HP Copy Machine, Color",Medium,Standard Class,$967.56 ,4,0,$193.44 ,$81.83 
50619,NI-2015-KL664595-42341,12-03-15,12-04-15,KL-664595,Ken Lonsdale,,Lagos,Lagos,Nigeria,Western Africa,Africa,Consumer,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",High,First Class,$382.41 ,2,0.7,($752.13),$81.83 
36494,CA-2012-AI10855140-41038,05-09-12,5/14/2012,AI-108551404,Arianne Irving,98031,Kent,Washington,United States,Western US,USCA,Consumer,TEC-PH-5085,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Medium,Standard Class,$43.60 ,5,0.2,$4.36 ,$1.39 
11986,IT-2014-AB10600104-41695,2/25/2014,03-01-14,AB-10600104,Ann Blume,,Amadora,Lisboa,Portugal,Southern Europe,Europe,Corporate,FUR-BO-5761,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",Medium,Standard Class,"$1,322.01 ",6,0.5,($317.43),$81.82 
45644,IZ-2015-PF916561-42244,8/28/2015,8/31/2015,PF-916561,Philip Fox,,Arbil,Arbil,Iraq,Western Asia,Asia Pacific,Consumer,TEC-CO-4766,Technology,Copiers,"HP Copy Machine, High-Speed",Critical,Second Class,$243.69 ,1,0,$41.40 ,$81.82 
24438,ID-2015-KH16510102-42052,2/17/2015,2/18/2015,KH-16510102,Keith Herrera,,Bacolod City,Western Visayas,Philippines,Southeastern Asia,Asia Pacific,Consumer,FUR-CH-4656,Furniture,Chairs,"Hon Executive Leather Armchair, Red",High,First Class,$344.54 ,1,0.25,($45.97),$81.81 
4173,US-2012-PC1874536-41181,9/29/2012,10-03-12,PC-1874536,Pamela Coakley,,San Pedro de Macorís,San Pedro de Macorís,Dominican Republic,Caribbean,LATAM,Corporate,OFF-AP-4505,Office Supplies,Appliances,"Hamilton Beach Stove, Black",Medium,Second Class,$577.89 ,2,0.2,($93.91),$81.81 
10632,ES-2015-GW1460545-42262,9/15/2015,9/21/2015,GW-1460545,Giulietta Weimer,,Coulommiers,Ile-de-France,France,Western Europe,Europe,Consumer,TEC-CO-3592,Technology,Copiers,"Brother Fax and Copier, Digital",Low,Standard Class,"$1,137.22 ",7,0.15,($13.58),$81.80 
37601,CA-2015-AI10855140-42130,05-06-15,05-06-15,AI-108551406,Arianne Irving,10035,New York City,New York,United States,Eastern US,USCA,Consumer,OFF-PA-6476,Office Supplies,Paper,Xerox 1923,Medium,Same Day,$6.68 ,1,0,$3.21 ,$1.36 
21338,ID-2014-JE1616559-41856,08-05-14,08-07-14,JE-1616559,Justin Ellison,,Jakarta,Jakarta,Indonesia,Southeastern Asia,Asia Pacific,Corporate,TEC-PH-5262,Technology,Phones,"Motorola Office Telephone, with Caller ID",Critical,First Class,$357.36 ,6,0.17,$124.80 ,$81.76 
42546,SA-2014-VG11805110-41746,4/17/2014,4/21/2014,VG-11805110,Vivek Grady,,Jeddah,Makkah,Saudi Arabia,Western Asia,Asia Pacific,Corporate,OFF-AP-3875,Office Supplies,Appliances,"Cuisinart Stove, White",High,Standard Class,$536.43 ,1,0,$91.17 ,$81.74 
47071,PL-2013-PF9225103-41537,9/20/2013,9/22/2013,PF-9225103,Phillip Flathmann,,Lodz,Lodz,Poland,Eastern Europe,Europe,Consumer,OFF-AP-4501,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black",Critical,First Class,$499.56 ,1,0,$89.91 ,$81.72 
27424,IN-2014-ME1772558-41672,02-02-14,02-06-14,ME-1772558,Max Engle,,Ratlam,Madhya Pradesh,India,Southern Asia,Asia Pacific,Consumer,OFF-ST-6047,Office Supplies,Storage,"Smead Lockers, Industrial",High,Standard Class,$397.80 ,2,0,$55.68 ,$81.69 
27774,ID-2014-PF1916597-41848,7/28/2014,7/31/2014,PF-1916597,Philip Fox,,Multan,Punjab,Pakistan,Southern Asia,Asia Pacific,Consumer,TEC-PH-5271,Technology,Phones,"Motorola Speaker Phone, Full Size",High,Second Class,$589.82 ,9,0.5,($259.61),$81.69 
1961,MX-2014-SC2023082-41718,3/20/2014,3/24/2014,SC-2023082,Scot Coram,,Querétaro,Querétaro,Mexico,Central America,LATAM,Corporate,TEC-PH-5356,Technology,Phones,"Nokia Smart Phone, with Caller ID",Medium,Standard Class,"$1,277.82 ",3,0,$511.08 ,$81.67 
22559,ID-2012-MD1786059-40965,2/26/2012,2/29/2012,MD-1786059,Michael Dominguez,,Jakarta,Jakarta,Indonesia,Southeastern Asia,Asia Pacific,Corporate,TEC-MA-4211,Technology,Machines,"Epson Receipt Printer, White",Critical,Second Class,$287.45 ,3,0.17,($45.10),$81.63 
817,US-2013-TT21265143-41636,12/28/2013,01-02-14,TT-21265143,Tim Taslimi,,Valencia,Carabobo,Venezuela,South America,LATAM,Corporate,TEC-PH-5355,Technology,Phones,"Nokia Smart Phone, Full Size",Medium,Standard Class,$764.82 ,3,0.4,($216.72),$81.61 
39966,CA-2013-AI10855140-41628,12/20/2013,12/25/2013,AI-108551404,Arianne Irving,90036,Los Angeles,California,United States,Western US,USCA,Consumer,OFF-FA-6129,Office Supplies,Fasteners,Staples,Medium,Second Class,$17.12 ,4,0,$7.70 ,$1.31 
24829,IN-2015-JH1582059-42328,11/20/2015,11/23/2015,JH-1582059,John Huston,,Palembang,Sumatera Selatan,Indonesia,Southeastern Asia,Asia Pacific,Consumer,OFF-ST-5702,Office Supplies,Storage,"Rogers Lockers, Single Width",Medium,First Class,$351.34 ,2,0.17,$114.28 ,$81.61 
51240,ZA-2013-AB15146-41370,04-06-13,04-12-13,AB-15146,Aaron Bergman,,Mufulira,Copperbelt,Zambia,Eastern Africa,Africa,Consumer,TEC-MA-5006,Technology,Machines,"Konica Inkjet, Durable",Medium,Standard Class,"$1,247.40 ",4,0,$74.76 ,$81.60 
36344,CA-2014-AI10855140-41954,11-11-14,11/14/2014,AI-108551404,Arianne Irving,90036,Los Angeles,California,United States,Western US,USCA,Consumer,OFF-AR-5317,Office Supplies,Art,Newell 338,High,Second Class,$14.70 ,5,0,$3.97 ,$1.23 
33739,CA-2014-AF10870140-41782,5/23/2014,5/28/2014,AF-108701406,Art Ferguson,7055,Passaic,New Jersey,United States,Eastern US,USCA,Consumer,OFF-AP-4218,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,Medium,Standard Class,$662.84 ,4,0,$172.34 ,$53.79 
29804,IN-2015-PL1892527-42279,10-02-15,10-04-15,PL-1892527,Paul Lucas,,Tianjin,Tianjin,China,Eastern Asia,Asia Pacific,Home Office,FUR-BO-4854,Furniture,Bookcases,"Ikea Corner Shelving, Pine",Critical,First Class,$248.82 ,2,0,$59.70 ,$81.57 
14293,ES-2015-DP1316548-42313,11-05-15,11-09-15,DP-1316548,David Philippe,,Mainz,Rhineland-Palatinate,Germany,Western Europe,Europe,Consumer,FUR-CH-4545,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",Medium,Second Class,$911.36 ,7,0.1,$202.40 ,$81.56 
4759,MX-2015-BS1166582-42270,9/23/2015,9/25/2015,BS-1166582,Brian Stugart,,Monterrey,Nuevo León,Mexico,Central America,LATAM,Consumer,FUR-BO-3903,Furniture,Bookcases,"Dania Library with Doors, Pine",Medium,Second Class,$776.00 ,4,0.2,$290.96 ,$81.55 
16191,ES-2014-CM1216048-41991,12/18/2014,12/20/2014,CM-1216048,Charles McCrossin,,Greifswald,Mecklenburg-Vorpommern,Germany,Western Europe,Europe,Consumer,TEC-MA-5512,Technology,Machines,"Okidata Printer, White",High,Second Class,$533.82 ,2,0,$5.28 ,$81.54 
33737,CA-2014-AF10870140-41782,5/23/2014,5/28/2014,AF-108701406,Art Ferguson,7055,Passaic,New Jersey,United States,Eastern US,USCA,Consumer,TEC-PH-3164,Technology,Phones,AT&T 841000 Phone,Medium,Standard Class,$345.00 ,5,0,$86.25 ,$22.07 
6659,US-2012-HM1498055-41160,09-08-12,09-12-12,HM-1498055,Henry MacAllister,,La Ceiba,Atlántida,Honduras,Central America,LATAM,Consumer,TEC-PH-5839,Technology,Phones,"Samsung Smart Phone, Cordless",High,Standard Class,$766.80 ,3,0.4,($421.74),$81.51 
13376,ES-2015-GM14695139-42025,1/21/2015,1/25/2015,GM-14695139,Greg Maxwell,,Letchworth,England,United Kingdom,Northern Europe,Europe,Corporate,FUR-TA-3766,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage",Medium,Standard Class,"$1,745.34 ",2,0,$122.16 ,$81.48 
23369,IN-2014-SP20920130-41808,6/18/2014,6/24/2014,SP-20920130,Susan Pistek,,Bangkok,Bangkok,Thailand,Southeastern Asia,Asia Pacific,Consumer,TEC-MA-4206,Technology,Machines,"Epson Printer, Red",Medium,Standard Class,"$1,078.05 ",5,0.17,($103.95),$81.42 
4591,MX-2015-GT1463531-42313,11-05-15,11-10-15,GT-1463531,Grant Thornton,,Ciego de Ávila,Ciego de Ávila,Cuba,Caribbean,LATAM,Corporate,TEC-CO-5999,Technology,Copiers,"Sharp Fax Machine, High-Speed",Medium,Standard Class,"$1,173.05 ",6,0.002,$338.45 ,$81.41 
28711,IN-2014-Co1264066-41833,7/13/2014,7/15/2014,Co-1264066,Corey-Lock,,Tokyo,Tokyo,Japan,Eastern Asia,Asia Pacific,Consumer,FUR-CH-5379,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",High,First Class,$457.95 ,1,0,$13.71 ,$81.40 
33447,US-2015-AF10870140-42328,11/20/2015,11/27/2015,AF-108701402,Art Ferguson,77840,College Station,Texas,United States,Central US,USCA,Consumer,FUR-CH-5445,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,Medium,Standard Class,$233.06 ,3,0.3,($53.27),$19.23 
29880,ID-2013-JB1604559-41433,06-08-13,06-12-13,JB-1604559,Julia Barnett,,Jakarta,Jakarta,Indonesia,Southeastern Asia,Asia Pacific,Home Office,FUR-CH-5805,Furniture,Chairs,"SAFCO Swivel Stool, Adjustable",High,Standard Class,$497.66 ,4,0.27,$61.34 ,$81.39 
20011,ES-2013-AB1060048-41527,09-10-13,09-12-13,AB-1060048,Ann Blume,,Erlangen,Bavaria,Germany,Western Europe,Europe,Corporate,OFF-BI-3724,Office Supplies,Binders,"Cardinal Binding Machine, Clear",High,Second Class,$492.30 ,10,0,$196.80 ,$81.34 
29077,IN-2015-DP131057-42271,9/24/2015,9/28/2015,DP-131057,Dave Poirier,,Gold Coast,Queensland,Australia,Oceania,Asia Pacific,Corporate,TEC-CO-6011,Technology,Copiers,"Sharp Wireless Fax, High-Speed",High,Standard Class,$637.42 ,2,0.1,$127.48 ,$81.29 
47023,MA-2014-EM409577-41781,5/22/2014,5/27/2014,EM-409577,Eudokia Martin,,Antananarivo,Analamanga,Madagascar,Eastern Africa,Africa,Corporate,FUR-BO-4850,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",Medium,Standard Class,$826.20 ,2,0,$16.50 ,$81.28 
9252,MX-2013-EA1403582-41464,07-09-13,07-12-13,EA-1403582,Erin Ashbrook,,Monterrey,Nuevo León,Mexico,Central America,LATAM,Corporate,FUR-BO-4851,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",Medium,First Class,$439.20 ,2,0.2,($21.96),$81.27 
28170,IN-2013-AR1034558-41531,9/14/2013,9/18/2013,AR-1034558,Alex Russell,,Kota,Chhattisgarh,India,Southern Asia,Asia Pacific,Corporate,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",Medium,Standard Class,$628.44 ,2,0,$276.48 ,$81.27 
33742,CA-2014-AF10870140-41782,5/23/2014,5/28/2014,AF-108701406,Art Ferguson,7055,Passaic,New Jersey,United States,Eastern US,USCA,Consumer,TEC-PH-3966,Technology,Phones,Digium D40 VoIP phone,Medium,Standard Class,$257.98 ,2,0,$74.81 ,$15.58 
46681,IZ-2012-LW699061-40911,01-03-12,01-07-12,LW-699061,Lindsay Williams,,Mosul,Ninawa,Iraq,Western Asia,Asia Pacific,Corporate,FUR-CH-5414,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",High,Standard Class,$666.84 ,4,0,$253.32 ,$81.26 
14269,ES-2012-AH1021045-41244,12-01-12,12-02-12,AH-1021045,Alan Hwang,,Paris,Ile-de-France,France,Western Europe,Europe,Consumer,TEC-CO-3599,Technology,Copiers,"Brother Ink, Color",Medium,First Class,$379.29 ,3,0.15,$151.68 ,$81.24 
5498,MX-2014-AG1090018-41880,8/29/2014,09-03-14,AG-1090018,Arthur Gainer,,João Pessoa,Paraíba,Brazil,South America,LATAM,Consumer,FUR-TA-4690,Furniture,Tables,"Hon Round Table, Fully Assembled",High,Standard Class,$551.87 ,2,0.2,$68.95 ,$81.22 
45753,RO-2012-PS8970107-41240,11/27/2012,12-01-12,PS-8970107,Paul Stevenson,,Sibiu,Sibiu,Romania,Eastern Europe,Europe,Home Office,FUR-FU-6254,Furniture,Furnishings,"Tenex Frame, Duo Pack",Medium,Standard Class,$880.32 ,8,0,$70.32 ,$81.21 
43459,CA-2013-AF87023-41604,11/26/2013,11/30/2013,AF-87023,Art Ferguson,,Peterborough,Ontario,Canada,Canada,USCA,Consumer,OFF-AR-3448,Office Supplies,Art,"BIC Canvas, Easy-Erase",High,Standard Class,$107.94 ,2,0,$36.66 ,$11.91 
27059,IN-2012-KC162557-41047,5/18/2012,5/22/2012,KC-162557,Karen Carlisle,,Canberra,Australian Capital Territory,Australia,Oceania,Asia Pacific,Corporate,TEC-CO-3589,Technology,Copiers,"Brother Copy Machine, Laser",High,Standard Class,$785.79 ,5,0.4,$91.59 ,$81.18 
17781,IT-2015-KH1669096-42220,08-04-15,08-10-15,KH-1669096,Kristen Hastings,,Bergen,Hordaland,Norway,Northern Europe,Europe,Corporate,FUR-CH-4704,Furniture,Chairs,"Hon Swivel Stool, Set of Two",Low,Standard Class,"$1,327.20 ",8,0,$318.48 ,$81.18 
19384,ES-2014-CD1228045-41849,7/29/2014,08-02-14,CD-1228045,Christina DeMoss,,Fresnes,Ile-de-France,France,Western Europe,Europe,Consumer,FUR-CH-5441,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",Medium,Standard Class,$837.00 ,2,0.1,$288.30 ,$81.13 
21610,IN-2014-ME173207-41893,09-11-14,9/15/2014,ME-173207,Maria Etezadi,,Melbourne,Victoria,Australia,Oceania,Asia Pacific,Home Office,TEC-CO-6008,Technology,Copiers,"Sharp Personal Copier, Laser",High,Standard Class,$864.00 ,8,0.1,$259.20 ,$81.13 
5894,MX-2015-PS1897051-42195,07-10-15,7/14/2015,PS-1897051,Paul Stevenson,,Petapa,Guatemala,Guatemala,Central America,LATAM,Home Office,FUR-BO-5780,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",Medium,Second Class,$524.64 ,4,0,$241.28 ,$81.12 
16834,IT-2014-JL1583545-41697,2/27/2014,03-01-14,JL-1583545,John Lee,,Nice,Provence-Alpes-Côte d'Azur,France,Western Europe,Europe,Consumer,OFF-AP-3569,Office Supplies,Appliances,"Breville Coffee Grinder, White",High,Second Class,$756.00 ,14,0.1,($58.80),$81.09 
9207,MX-2014-CS1186031-41695,2/25/2014,03-02-14,CS-1186031,Cari Schnelling,,Manzanillo,Granma,Cuba,Caribbean,LATAM,Consumer,TEC-CO-6004,Technology,Copiers,"Sharp Ink, Laser",High,Second Class,$496.64 ,6,0.002,$148.28 ,$81.09 
14978,ES-2013-AJ1096064-41373,04-09-13,4/13/2013,AJ-1096064,Astrea Jones,,Milan,Lombardy,Italy,Southern Europe,Europe,Consumer,TEC-CO-6003,Technology,Copiers,"Sharp Ink, High-Speed",High,Standard Class,$367.83 ,3,0,$29.34 ,$81.06 
7695,MX-2012-BD1156082-41072,06-12-12,06-12-12,BD-1156082,Brendan Dodson,,Cuajimalpa,Distrito Federal,Mexico,Central America,LATAM,Home Office,OFF-AP-4969,Office Supplies,Appliances,"KitchenAid Toaster, Red",Critical,Same Day,$284.40 ,5,0,$122.20 ,$81.05 
7302,MX-2015-CJ1201082-42187,07-02-15,07-09-15,CJ-1201082,Caroline Jumper,,Córdoba,Veracruz,Mexico,Central America,LATAM,Consumer,FUR-CH-5774,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",Medium,Standard Class,$734.40 ,3,0.2,$128.52 ,$81.04 
22638,IN-2015-RP19390102-42192,07-07-15,07-11-15,RP-19390102,Resi Pölking,,Manila,National Capital,Philippines,Southeastern Asia,Asia Pacific,Consumer,TEC-MA-5548,Technology,Machines,"Panasonic Inkjet, White",Medium,Standard Class,"$1,164.38 ",5,0.25,($201.83),$81.03 
17627,ES-2013-JP1552048-41619,12-11-13,12-12-13,JP-1552048,Jeremy Pistek,,Munich,Bavaria,Germany,Western Europe,Europe,Consumer,FUR-BO-4847,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",High,First Class,$769.18 ,6,0.1,$299.02 ,$81.02 
45579,PU-2015-TS1134053-42329,11/21/2015,11/23/2015,TS-1134053,Toby Swindell,,Bissau,Bissau,Guinea-Bissau,Western Africa,Africa,Consumer,TEC-AC-3405,Technology,Accessories,"Belkin Router, USB",High,Second Class,$517.92 ,2,0,$243.42 ,$81.01 
26583,ID-2014-CL12700144-41803,6/13/2014,6/15/2014,CL-12700144,Craig Leslie,,Ho Chi Minh City,Ho Chí Minh City,Vietnam,Southeastern Asia,Asia Pacific,Home Office,FUR-TA-3440,Furniture,Tables,"Bevis Wood Table, Fully Assembled",High,First Class,$460.17 ,2,0.57,($117.75),$80.98 
11713,IT-2012-JS15685139-41066,06-06-12,06-07-12,JS-15685139,Jim Sink,,Worcester,England,United Kingdom,Northern Europe,Europe,Corporate,FUR-BO-3897,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",Medium,First Class,$506.43 ,3,0,$192.42 ,$80.97 
13591,IT-2014-JD1615048-41846,7/26/2014,7/31/2014,JD-1615048,Justin Deggeller,,Oldenburg,Lower Saxony,Germany,Western Europe,Europe,Corporate,FUR-TA-3780,Furniture,Tables,"Chromcraft Wood Table, with Bottom Storage",Medium,Standard Class,$940.91 ,3,0.35,($202.72),$80.97 
